begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2021-03-22T13:30:00Z,51.780000,51.359000,52.950000,51.350000,158013,reg,False,GBTC
2021-03-22T13:35:00Z,51.350000,50.973500,51.393000,50.940000,163725,reg,False,GBTC
2021-03-22T13:40:00Z,50.980000,50.780000,51.200000,50.750000,179375,reg,False,GBTC
2021-03-22T13:45:00Z,50.780000,51.110000,51.150000,50.780000,122225,reg,False,GBTC
2021-03-22T13:50:00Z,51.080000,51.340000,51.340000,51.050000,97133,reg,False,GBTC
2021-03-22T13:55:00Z,51.320000,51.180000,51.340000,51.150000,90804,reg,False,GBTC
2021-03-22T14:00:00Z,51.160000,51.220000,51.230000,51.100000,90572,reg,False,GBTC
2021-03-22T14:05:00Z,51.200000,51.390000,51.450000,51.180000,89987,reg,False,GBTC
2021-03-22T14:10:00Z,51.390000,51.289500,51.390000,51.270000,48146,reg,False,GBTC
2021-03-22T14:15:00Z,51.270000,51.270000,51.310000,51.220000,41435,reg,False,GBTC
2021-03-22T14:20:00Z,51.250000,51.000000,51.270000,51.000000,85918,reg,False,GBTC
2021-03-22T14:25:00Z,51.000000,50.954000,51.139900,50.950000,103527,reg,False,GBTC
2021-03-22T14:30:00Z,50.990000,51.020000,51.100000,50.820000,64686,reg,False,GBTC
2021-03-22T14:35:00Z,51.030000,50.890000,51.030000,50.810000,102417,reg,False,GBTC
2021-03-22T14:40:00Z,50.890000,50.930000,51.000000,50.830000,85134,reg,False,GBTC
2021-03-22T14:45:00Z,50.930000,51.230000,51.230000,50.910000,73815,reg,False,GBTC
2021-03-22T14:50:00Z,51.230000,51.250000,51.400000,51.220000,79039,reg,False,GBTC
2021-03-22T14:55:00Z,51.250000,51.080000,51.290000,51.080000,50370,reg,False,GBTC
2021-03-22T15:00:00Z,51.060000,51.100000,51.180000,51.020000,56703,reg,False,GBTC
2021-03-22T15:05:00Z,51.080000,51.005000,51.180000,50.990000,92854,reg,False,GBTC
2021-03-22T15:10:00Z,51.003000,50.931000,51.040000,50.900000,50378,reg,False,GBTC
2021-03-22T15:15:00Z,50.931000,51.000000,51.030000,50.910000,19036,reg,False,GBTC
2021-03-22T15:20:00Z,51.000100,51.023500,51.050000,50.960000,35740,reg,False,GBTC
2021-03-22T15:25:00Z,51.030000,51.050000,51.060000,50.960000,44807,reg,False,GBTC
2021-03-22T15:30:00Z,51.045000,51.210000,51.250000,51.045000,37134,reg,False,GBTC
2021-03-22T15:35:00Z,51.210000,51.130000,51.210000,51.100000,48863,reg,False,GBTC
2021-03-22T15:40:00Z,51.139000,51.120000,51.140000,51.100000,28380,reg,False,GBTC
2021-03-22T15:45:00Z,51.140000,51.080000,51.140000,51.080000,32871,reg,False,GBTC
2021-03-22T15:50:00Z,51.120000,51.034000,51.120000,51.020000,27552,reg,False,GBTC
2021-03-22T15:55:00Z,51.030000,51.060000,51.150000,51.020000,34473,reg,False,GBTC
2021-03-22T16:00:00Z,51.050000,51.000000,51.120000,51.000000,67809,reg,False,GBTC
2021-03-22T16:05:00Z,51.010000,50.930000,51.020000,50.900000,78939,reg,False,GBTC
2021-03-22T16:10:00Z,50.920000,51.080000,51.080000,50.900000,36737,reg,False,GBTC
2021-03-22T16:15:00Z,51.100000,50.880000,51.120000,50.870000,68010,reg,False,GBTC
2021-03-22T16:20:00Z,50.890000,50.895000,51.000000,50.850000,42485,reg,False,GBTC
2021-03-22T16:25:00Z,50.880000,50.820000,50.930000,50.810000,39916,reg,False,GBTC
2021-03-22T16:30:00Z,50.830000,50.530000,50.890000,50.500000,124351,reg,False,GBTC
2021-03-22T16:35:00Z,50.550000,50.342000,50.550000,50.210000,107709,reg,False,GBTC
2021-03-22T16:40:00Z,50.375000,50.553500,50.640000,50.260000,66530,reg,False,GBTC
2021-03-22T16:45:00Z,50.550000,50.650000,50.690000,50.550000,55213,reg,False,GBTC
2021-03-22T16:50:00Z,50.650000,50.640000,50.700000,50.600000,52515,reg,False,GBTC
2021-03-22T16:55:00Z,50.620000,50.740000,50.770000,50.600000,61043,reg,False,GBTC
2021-03-22T17:00:00Z,50.730000,50.666500,50.730000,50.664000,38166,reg,False,GBTC
2021-03-22T17:05:00Z,50.670000,50.670000,50.690000,50.600000,53562,reg,False,GBTC
2021-03-22T17:10:00Z,50.650000,50.680000,50.702500,50.580000,40270,reg,False,GBTC
2021-03-22T17:15:00Z,50.670000,50.650000,50.690000,50.580000,34130,reg,False,GBTC
2021-03-22T17:20:00Z,50.616500,50.840000,50.850000,50.616500,29968,reg,False,GBTC
2021-03-22T17:25:00Z,50.840000,50.817500,50.900000,50.760000,29873,reg,False,GBTC
2021-03-22T17:30:00Z,50.870000,51.080000,51.120000,50.800000,40806,reg,False,GBTC
2021-03-22T17:35:00Z,51.080000,51.130000,51.150000,51.070000,32937,reg,False,GBTC
2021-03-22T17:40:00Z,51.150000,51.160000,51.170000,51.130000,19857,reg,False,GBTC
2021-03-22T17:45:00Z,51.162500,51.150000,51.170000,51.140000,42312,reg,False,GBTC
2021-03-22T17:50:00Z,51.143500,51.160000,51.160000,51.130000,24958,reg,False,GBTC
2021-03-22T17:55:00Z,51.160000,51.130000,51.170000,51.130000,37494,reg,False,GBTC
2021-03-22T18:00:00Z,51.130000,51.050000,51.140000,51.050000,30846,reg,False,GBTC
2021-03-22T18:05:00Z,51.050000,51.000000,51.060000,50.910000,81607,reg,False,GBTC
2021-03-22T18:10:00Z,51.000000,50.913000,51.005000,50.860000,36550,reg,False,GBTC
2021-03-22T18:15:00Z,50.920000,50.990000,51.000000,50.900000,40085,reg,False,GBTC
2021-03-22T18:20:00Z,50.990000,50.966500,51.040000,50.960000,46249,reg,False,GBTC
2021-03-22T18:25:00Z,50.970000,50.900000,51.010000,50.900000,21568,reg,False,GBTC
2021-03-22T18:30:00Z,50.940000,50.710000,50.940000,50.690000,40984,reg,False,GBTC
2021-03-22T18:35:00Z,50.700000,50.560000,50.700000,50.550000,29819,reg,False,GBTC
2021-03-22T18:40:00Z,50.550000,50.550000,50.610000,50.500000,86414,reg,False,GBTC
2021-03-22T18:45:00Z,50.520000,50.566000,50.600000,50.500000,56884,reg,False,GBTC
2021-03-22T18:50:00Z,50.560000,50.300000,50.570000,50.300000,74791,reg,False,GBTC
2021-03-22T18:55:00Z,50.300000,50.340000,50.380000,50.280000,62601,reg,False,GBTC
2021-03-22T19:00:00Z,50.330000,50.200000,50.360000,50.200000,81342,reg,False,GBTC
2021-03-22T19:05:00Z,50.200000,50.055000,50.200000,50.000000,143595,reg,False,GBTC
2021-03-22T19:10:00Z,50.060000,50.010000,50.170000,50.010000,81539,reg,False,GBTC
2021-03-22T19:15:00Z,50.010000,49.850000,50.020000,49.750000,130176,reg,False,GBTC
2021-03-22T19:20:00Z,49.850000,49.750000,50.000000,49.750000,92470,reg,False,GBTC
2021-03-22T19:25:00Z,49.770000,49.570000,49.770000,49.520000,105262,reg,False,GBTC
2021-03-22T19:30:00Z,49.530000,49.430000,49.536000,49.340000,153261,reg,False,GBTC
2021-03-22T19:35:00Z,49.430000,49.750000,49.750000,49.360000,105427,reg,False,GBTC
2021-03-22T19:40:00Z,49.750000,49.620000,49.830000,49.610000,77705,reg,False,GBTC
2021-03-22T19:45:00Z,49.626500,49.800000,49.830000,49.620000,134228,reg,False,GBTC
2021-03-22T19:50:00Z,49.800000,49.750000,49.840000,49.700000,83952,reg,False,GBTC
2021-03-22T19:55:00Z,49.750000,49.510500,49.890000,49.500000,149887,reg,False,GBTC
2021-03-23T13:30:00Z,49.060000,48.875000,49.080000,48.800000,260340,reg,False,GBTC
2021-03-23T13:35:00Z,48.880000,48.930000,49.070000,48.850000,208972,reg,False,GBTC
2021-03-23T13:40:00Z,48.950000,48.810000,49.000000,48.800000,156047,reg,False,GBTC
2021-03-23T13:45:00Z,48.830000,48.410000,48.880000,48.400000,230154,reg,False,GBTC
2021-03-23T13:50:00Z,48.410000,48.140000,48.500000,48.100000,211939,reg,False,GBTC
2021-03-23T13:55:00Z,48.120000,48.400000,48.400000,48.100000,189755,reg,False,GBTC
2021-03-23T14:00:00Z,48.400000,48.250000,48.600000,48.210000,131501,reg,False,GBTC
2021-03-23T14:05:00Z,48.250000,48.260000,48.360000,48.110000,104315,reg,False,GBTC
2021-03-23T14:10:00Z,48.260000,48.240000,48.320000,48.200000,148085,reg,False,GBTC
2021-03-23T14:15:00Z,48.250000,48.490000,48.500000,48.160000,160390,reg,False,GBTC
2021-03-23T14:20:00Z,48.490000,48.200000,48.490000,48.140000,88698,reg,False,GBTC
2021-03-23T14:25:00Z,48.190000,47.790000,48.250000,47.750000,171933,reg,False,GBTC
2021-03-23T14:30:00Z,47.800000,47.650000,47.990000,47.650000,175295,reg,False,GBTC
2021-03-23T14:35:00Z,47.650000,46.890000,47.660000,46.870000,268601,reg,False,GBTC
2021-03-23T14:40:00Z,46.890000,47.210000,47.250000,46.550000,279085,reg,False,GBTC
2021-03-23T14:45:00Z,47.210000,47.387000,47.400000,47.040000,149186,reg,False,GBTC
2021-03-23T14:50:00Z,47.393000,47.500000,47.800000,47.393000,221446,reg,False,GBTC
2021-03-23T14:55:00Z,47.460000,47.500000,47.610000,47.345000,187029,reg,False,GBTC
2021-03-23T15:00:00Z,47.500000,47.580000,47.750000,47.490000,248978,reg,False,GBTC
2021-03-23T15:05:00Z,47.580000,47.500000,47.650000,47.470000,183918,reg,False,GBTC
2021-03-23T15:10:00Z,47.500000,47.430000,47.750000,47.360000,167838,reg,False,GBTC
2021-03-23T15:15:00Z,47.410000,47.476000,47.510000,47.300000,163713,reg,False,GBTC
2021-03-23T15:20:00Z,47.480000,47.680000,47.700000,47.460000,98955,reg,False,GBTC
2021-03-23T15:25:00Z,47.660000,47.560000,47.700000,47.510000,106024,reg,False,GBTC
2021-03-23T15:30:00Z,47.540000,47.730000,47.800000,47.540000,97154,reg,False,GBTC
2021-03-23T15:35:00Z,47.750000,47.922500,47.940000,47.730000,64055,reg,False,GBTC
2021-03-23T15:40:00Z,47.919500,47.920000,47.950000,47.840000,43868,reg,False,GBTC
2021-03-23T15:45:00Z,47.910000,47.930000,47.970000,47.910000,105680,reg,False,GBTC
2021-03-23T15:50:00Z,47.950000,47.930000,47.970000,47.930000,75558,reg,False,GBTC
2021-03-23T15:55:00Z,47.935000,47.940000,48.080000,47.880000,115428,reg,False,GBTC
2021-03-23T16:00:00Z,47.940000,47.820000,47.970000,47.750000,86455,reg,False,GBTC
2021-03-23T16:05:00Z,47.820000,47.620000,47.820000,47.530000,69605,reg,False,GBTC
2021-03-23T16:10:00Z,47.630000,47.650000,47.800000,47.510000,44824,reg,False,GBTC
2021-03-23T16:15:00Z,47.650000,47.887000,47.900000,47.650000,65658,reg,False,GBTC
2021-03-23T16:20:00Z,47.900000,48.540000,48.540000,47.890000,166174,reg,False,GBTC
2021-03-23T16:25:00Z,48.530000,48.690000,48.770000,48.520000,146759,reg,False,GBTC
2021-03-23T16:30:00Z,48.690000,48.629900,48.880000,48.500000,90268,reg,False,GBTC
2021-03-23T16:35:00Z,48.620000,48.600000,48.630000,48.520000,50023,reg,False,GBTC
2021-03-23T16:40:00Z,48.630000,48.440000,48.630000,48.350000,40634,reg,False,GBTC
2021-03-23T16:45:00Z,48.400000,48.440000,48.630000,48.400000,63009,reg,False,GBTC
2021-03-23T16:50:00Z,48.440000,48.590000,48.694000,48.426000,43386,reg,False,GBTC
2021-03-23T16:55:00Z,48.590000,48.810000,48.810000,48.550000,63325,reg,False,GBTC
2021-03-23T17:00:00Z,48.800000,48.849900,48.920000,48.800000,55289,reg,False,GBTC
2021-03-23T17:05:00Z,48.830000,48.800000,48.880000,48.800000,30304,reg,False,GBTC
2021-03-23T17:10:00Z,48.808000,48.750000,48.880000,48.750000,40640,reg,False,GBTC
2021-03-23T17:15:00Z,48.790000,48.870000,48.880000,48.790000,43463,reg,False,GBTC
2021-03-23T17:20:00Z,48.870000,48.814000,48.870000,48.760000,35529,reg,False,GBTC
2021-03-23T17:25:00Z,48.810000,48.763500,48.830000,48.750000,19093,reg,False,GBTC
2021-03-23T17:30:00Z,48.765000,48.860000,48.870000,48.763500,65911,reg,False,GBTC
2021-03-23T17:35:00Z,48.870000,48.830000,48.920000,48.800000,50544,reg,False,GBTC
2021-03-23T17:40:00Z,48.825000,48.770000,48.850000,48.760000,52701,reg,False,GBTC
2021-03-23T17:45:00Z,48.770000,48.750000,48.770000,48.560000,71625,reg,False,GBTC
2021-03-23T17:50:00Z,48.750000,48.929900,48.930000,48.730000,73826,reg,False,GBTC
2021-03-23T17:55:00Z,48.930000,48.920000,48.960000,48.840000,36783,reg,False,GBTC
2021-03-23T18:00:00Z,48.880000,48.890000,49.000000,48.860000,45537,reg,False,GBTC
2021-03-23T18:05:00Z,48.890000,48.795000,48.890000,48.620000,45546,reg,False,GBTC
2021-03-23T18:10:00Z,48.810000,48.950000,48.950000,48.750100,46371,reg,False,GBTC
2021-03-23T18:15:00Z,48.950000,48.700000,48.970000,48.520000,36605,reg,False,GBTC
2021-03-23T18:20:00Z,48.628000,48.770000,48.770000,48.600000,35356,reg,False,GBTC
2021-03-23T18:25:00Z,48.770000,48.970000,48.990000,48.660000,46406,reg,False,GBTC
2021-03-23T18:30:00Z,48.930000,48.900000,48.980000,48.850000,40471,reg,False,GBTC
2021-03-23T18:35:00Z,48.900000,48.840000,48.920000,48.810000,42254,reg,False,GBTC
2021-03-23T18:40:00Z,48.830000,48.710000,48.833000,48.710000,37578,reg,False,GBTC
2021-03-23T18:45:00Z,48.715000,48.690000,48.750000,48.630000,25228,reg,False,GBTC
2021-03-23T18:50:00Z,48.690000,48.570000,48.690000,48.510000,92263,reg,False,GBTC
2021-03-23T18:55:00Z,48.570000,48.280000,48.580000,48.270000,135422,reg,False,GBTC
2021-03-23T19:00:00Z,48.280000,48.450000,48.460000,48.250000,92969,reg,False,GBTC
2021-03-23T19:05:00Z,48.450000,48.630500,48.650000,48.420000,62475,reg,False,GBTC
2021-03-23T19:10:00Z,48.650000,48.460000,48.650000,48.460000,43120,reg,False,GBTC
2021-03-23T19:15:00Z,48.460000,48.250000,48.460000,48.210000,112502,reg,False,GBTC
2021-03-23T19:20:00Z,48.225000,48.058000,48.250000,48.000000,149279,reg,False,GBTC
2021-03-23T19:25:00Z,48.062000,47.800000,48.062000,47.710000,153095,reg,False,GBTC
2021-03-23T19:30:00Z,47.800000,47.840000,47.900000,47.550000,120748,reg,False,GBTC
2021-03-23T19:35:00Z,47.850000,47.540100,47.890000,47.510000,93649,reg,False,GBTC
2021-03-23T19:40:00Z,47.550000,47.520000,47.600000,47.500000,91318,reg,False,GBTC
2021-03-23T19:45:00Z,47.508000,47.635000,47.635000,47.400000,94348,reg,False,GBTC
2021-03-23T19:50:00Z,47.650000,47.100000,47.660000,47.100000,176180,reg,False,GBTC
2021-03-23T19:55:00Z,47.100000,46.810000,47.300000,45.990000,350341,reg,False,GBTC
2021-03-24T13:30:00Z,49.120000,49.110000,49.250000,49.050000,239805,reg,False,GBTC
2021-03-24T13:35:00Z,49.110000,48.910000,49.350000,48.900000,197861,reg,False,GBTC
2021-03-24T13:40:00Z,48.960000,48.650000,48.960000,48.650000,193168,reg,False,GBTC
2021-03-24T13:45:00Z,48.660000,48.360000,48.780000,48.300000,147000,reg,False,GBTC
2021-03-24T13:50:00Z,48.359000,48.380000,48.500000,48.350000,148744,reg,False,GBTC
2021-03-24T13:55:00Z,48.370000,48.460000,48.490000,48.200000,186612,reg,False,GBTC
2021-03-24T14:00:00Z,48.480000,48.480000,48.620000,48.430000,122543,reg,False,GBTC
2021-03-24T14:05:00Z,48.460000,48.740000,48.760000,48.450000,92956,reg,False,GBTC
2021-03-24T14:10:00Z,48.740000,48.800000,48.800000,48.670000,114575,reg,False,GBTC
2021-03-24T14:15:00Z,48.800000,48.550000,48.860000,48.550000,136276,reg,False,GBTC
2021-03-24T14:20:00Z,48.570000,48.250000,48.570000,48.230000,124370,reg,False,GBTC
2021-03-24T14:25:00Z,48.250000,48.230000,48.350000,48.160000,110172,reg,False,GBTC
2021-03-24T14:30:00Z,48.230000,48.230000,48.300000,48.120000,128677,reg,False,GBTC
2021-03-24T14:35:00Z,48.240000,48.230000,48.370000,48.200000,98456,reg,False,GBTC
2021-03-24T14:40:00Z,48.240000,48.390000,48.500000,48.230000,131966,reg,False,GBTC
2021-03-24T14:45:00Z,48.390000,48.450000,48.450000,48.280000,113702,reg,False,GBTC
2021-03-24T14:50:00Z,48.450000,48.890000,48.960000,48.410000,83909,reg,False,GBTC
2021-03-24T14:55:00Z,48.880000,48.590000,48.920000,48.550000,121690,reg,False,GBTC
2021-03-24T15:00:00Z,48.570000,48.650000,48.700000,48.570000,90979,reg,False,GBTC
2021-03-24T15:05:00Z,48.650000,48.505000,48.680000,48.500000,100390,reg,False,GBTC
2021-03-24T15:10:00Z,48.530000,48.630000,48.685000,48.530000,41081,reg,False,GBTC
2021-03-24T15:15:00Z,48.637000,48.686000,48.700000,48.600000,59399,reg,False,GBTC
2021-03-24T15:20:00Z,48.660000,48.400000,48.700000,48.400000,56952,reg,False,GBTC
2021-03-24T15:25:00Z,48.400000,48.420000,48.550000,48.330000,97733,reg,False,GBTC
2021-03-24T15:30:00Z,48.420000,48.413500,48.540000,48.390000,70164,reg,False,GBTC
2021-03-24T15:35:00Z,48.416500,48.170500,48.420000,48.030000,88078,reg,False,GBTC
2021-03-24T15:40:00Z,48.174000,47.802000,48.184000,47.650000,144683,reg,False,GBTC
2021-03-24T15:45:00Z,47.820000,47.850000,47.910000,47.750000,70048,reg,False,GBTC
2021-03-24T15:50:00Z,47.850000,47.751500,47.930000,47.720000,121611,reg,False,GBTC
2021-03-24T15:55:00Z,47.750200,47.760000,47.800000,47.630000,132971,reg,False,GBTC
2021-03-24T16:00:00Z,47.760000,47.420000,47.820000,47.360000,121780,reg,False,GBTC
2021-03-24T16:05:00Z,47.450000,47.430000,47.520000,47.360000,92373,reg,False,GBTC
2021-03-24T16:10:00Z,47.420000,47.460000,47.570000,47.380200,290123,reg,False,GBTC
2021-03-24T16:15:00Z,47.440000,47.360000,47.450000,47.260000,154052,reg,False,GBTC
2021-03-24T16:20:00Z,47.260000,47.000000,47.350000,47.000000,197327,reg,False,GBTC
2021-03-24T16:25:00Z,47.040000,46.740000,47.040000,46.700000,234160,reg,False,GBTC
2021-03-24T16:30:00Z,46.750000,46.940000,46.980000,46.723200,544059,reg,False,GBTC
2021-03-24T16:35:00Z,46.940000,46.890000,46.950000,46.840000,104039,reg,False,GBTC
2021-03-24T16:40:00Z,46.890000,46.990000,47.050000,46.870000,75543,reg,False,GBTC
2021-03-24T16:45:00Z,46.950000,46.900000,47.000000,46.850000,199291,reg,False,GBTC
2021-03-24T16:50:00Z,46.900000,46.725000,46.940000,46.710000,93713,reg,False,GBTC
2021-03-24T16:55:00Z,46.720000,46.310000,46.750000,46.300000,178693,reg,False,GBTC
2021-03-24T17:00:00Z,46.300000,46.410000,46.500000,46.280000,138366,reg,False,GBTC
2021-03-24T17:05:00Z,46.410000,45.540000,46.450000,45.500000,392012,reg,False,GBTC
2021-03-24T17:10:00Z,45.560000,45.479900,45.810000,45.370000,275068,reg,False,GBTC
2021-03-24T17:15:00Z,45.490000,45.150000,45.490000,45.050000,254726,reg,False,GBTC
2021-03-24T17:20:00Z,45.110000,45.580000,45.610000,45.110000,277460,reg,False,GBTC
2021-03-24T17:25:00Z,45.610000,45.650000,45.740000,45.480000,123436,reg,False,GBTC
2021-03-24T17:30:00Z,45.670000,46.000000,46.160000,45.600000,131775,reg,False,GBTC
2021-03-24T17:35:00Z,46.010000,46.050000,46.090000,45.710000,143984,reg,False,GBTC
2021-03-24T17:40:00Z,46.070000,46.160000,46.355000,46.000000,154001,reg,False,GBTC
2021-03-24T17:45:00Z,46.170000,46.160000,46.360000,46.050000,133775,reg,False,GBTC
2021-03-24T17:50:00Z,46.150000,46.225000,46.280000,46.120000,192005,reg,False,GBTC
2021-03-24T17:55:00Z,46.200000,46.565000,46.700000,46.180100,96806,reg,False,GBTC
2021-03-24T18:00:00Z,46.580000,46.560000,46.720000,46.550000,69105,reg,False,GBTC
2021-03-24T18:05:00Z,46.560000,46.610000,46.640000,46.500000,43908,reg,False,GBTC
2021-03-24T18:10:00Z,46.613000,46.500000,46.630000,46.360000,68871,reg,False,GBTC
2021-03-24T18:15:00Z,46.499900,46.480000,46.585000,46.450000,50049,reg,False,GBTC
2021-03-24T18:20:00Z,46.450000,46.290000,46.500000,46.290000,55686,reg,False,GBTC
2021-03-24T18:25:00Z,46.295000,46.100000,46.300000,46.070000,81485,reg,False,GBTC
2021-03-24T18:30:00Z,46.140000,46.020000,46.140000,46.000000,59799,reg,False,GBTC
2021-03-24T18:35:00Z,46.020000,45.810000,46.030000,45.750000,87657,reg,False,GBTC
2021-03-24T18:40:00Z,45.840000,45.700000,45.845000,45.650000,121694,reg,False,GBTC
2021-03-24T18:45:00Z,45.700000,45.720000,45.730000,45.580000,81278,reg,False,GBTC
2021-03-24T18:50:00Z,45.720000,45.450000,45.730000,45.450000,86992,reg,False,GBTC
2021-03-24T18:55:00Z,45.450000,45.300000,45.560000,45.300000,116503,reg,False,GBTC
2021-03-24T19:00:00Z,45.310000,45.300000,45.390000,45.210000,126622,reg,False,GBTC
2021-03-24T19:05:00Z,45.300000,45.500000,45.500000,45.300000,78999,reg,False,GBTC
2021-03-24T19:10:00Z,45.450000,45.550000,45.560000,45.400000,72828,reg,False,GBTC
2021-03-24T19:15:00Z,45.550000,45.460000,45.600000,45.400000,78444,reg,False,GBTC
2021-03-24T19:20:00Z,45.460000,45.360000,45.500000,45.350000,84199,reg,False,GBTC
2021-03-24T19:25:00Z,45.360000,45.120000,45.370000,45.030000,103142,reg,False,GBTC
2021-03-24T19:30:00Z,45.115000,44.970000,45.120000,44.950000,246580,reg,False,GBTC
2021-03-24T19:35:00Z,44.980000,44.810000,45.010000,44.800000,166475,reg,False,GBTC
2021-03-24T19:40:00Z,44.800000,44.745000,44.810000,44.590000,100650,reg,False,GBTC
2021-03-24T19:45:00Z,44.700000,44.875000,44.880000,44.510000,127906,reg,False,GBTC
2021-03-24T19:50:00Z,44.870000,44.785000,44.880000,44.510000,160473,reg,False,GBTC
2021-03-24T19:55:00Z,44.790000,44.980000,45.000000,44.700000,138119,reg,False,GBTC
2021-03-25T13:30:00Z,41.980000,41.190000,41.980000,41.010000,503263,reg,False,GBTC
2021-03-25T13:35:00Z,41.230000,41.670000,41.800000,41.170000,341541,reg,False,GBTC
2021-03-25T13:40:00Z,41.670000,42.160000,42.240000,41.650000,211168,reg,False,GBTC
2021-03-25T13:45:00Z,42.140000,41.720000,42.140000,41.670000,204274,reg,False,GBTC
2021-03-25T13:50:00Z,41.690000,41.300000,41.690000,41.080000,278533,reg,False,GBTC
2021-03-25T13:55:00Z,41.290000,41.255000,41.400000,41.050000,228918,reg,False,GBTC
2021-03-25T14:00:00Z,41.250000,41.580000,41.690000,41.240000,183798,reg,False,GBTC
2021-03-25T14:05:00Z,41.590000,42.170100,42.190000,41.550000,170439,reg,False,GBTC
2021-03-25T14:10:00Z,42.190000,42.650000,42.680000,42.190000,229867,reg,False,GBTC
2021-03-25T14:15:00Z,42.645000,42.390000,42.655000,42.220000,199721,reg,False,GBTC
2021-03-25T14:20:00Z,42.400000,42.590000,42.910000,42.370100,159348,reg,False,GBTC
2021-03-25T14:25:00Z,42.590000,42.320000,42.730000,42.290000,237515,reg,False,GBTC
2021-03-25T14:30:00Z,42.320000,41.845000,42.430000,41.750000,171080,reg,False,GBTC
2021-03-25T14:35:00Z,41.845000,41.505000,41.900000,41.280000,173217,reg,False,GBTC
2021-03-25T14:40:00Z,41.510000,41.340000,41.650000,41.280000,94252,reg,False,GBTC
2021-03-25T14:45:00Z,41.350000,41.200000,41.630000,41.200000,130006,reg,False,GBTC
2021-03-25T14:50:00Z,41.240000,41.010000,41.240000,40.880000,246843,reg,False,GBTC
2021-03-25T14:55:00Z,41.010000,41.040100,41.080000,40.800000,283434,reg,False,GBTC
2021-03-25T15:00:00Z,41.080000,40.800000,41.180000,40.750000,226591,reg,False,GBTC
