begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2020-04-08T00:00:00Z,7.790000,7.850000,8.040000,7.700000,2370540,reg,False,GBTC
2020-04-09T00:00:00Z,7.940000,7.800000,8.080000,7.620000,3274411,reg,False,GBTC
2020-04-13T00:00:00Z,7.450000,7.250000,7.460000,7.150000,4296846,reg,False,GBTC
2020-04-14T00:00:00Z,7.366500,7.330000,7.620000,7.300000,2931262,reg,False,GBTC
2020-04-15T00:00:00Z,7.176500,7.145000,7.240000,7.050000,2683162,reg,False,GBTC
2020-04-16T00:00:00Z,7.450000,7.660000,7.690000,7.280000,3216798,reg,False,GBTC
2020-04-17T00:00:00Z,7.640000,7.490000,7.670000,7.200000,2823524,reg,False,GBTC
2020-04-20T00:00:00Z,7.569000,7.300000,7.770000,7.170000,3809637,reg,False,GBTC
2020-04-21T00:00:00Z,7.196500,7.450000,7.500000,7.030000,3266412,reg,False,GBTC
2020-04-22T00:00:00Z,7.650000,7.700000,7.750000,7.520000,3524079,reg,False,GBTC
2020-04-23T00:00:00Z,7.760000,8.615000,8.630000,7.750000,7440468,reg,False,GBTC
2020-04-24T00:00:00Z,8.590000,8.550000,8.680000,8.200000,4186064,reg,False,GBTC
2020-04-27T00:00:00Z,8.800000,8.795000,8.810000,8.630000,3791927,reg,False,GBTC
2020-04-28T00:00:00Z,8.840000,8.400000,8.870000,8.360000,4546122,reg,False,GBTC
2020-04-29T00:00:00Z,9.060000,9.600000,9.950000,9.060000,9906960,reg,False,GBTC
2020-04-30T00:00:00Z,9.646500,9.870000,10.030000,9.430000,8234582,reg,False,GBTC
2020-05-01T00:00:00Z,10.000000,9.465000,10.000000,9.430000,4831764,reg,False,GBTC
2020-05-04T00:00:00Z,9.590000,9.970000,10.100000,9.550000,4594663,reg,False,GBTC
2020-05-05T00:00:00Z,10.030000,10.030000,10.200000,9.900000,4301836,reg,False,GBTC
2020-05-06T00:00:00Z,10.300000,10.750000,10.760000,10.260000,5799211,reg,False,GBTC
2020-05-07T00:00:00Z,10.966500,11.975000,12.290000,10.960000,13682029,reg,False,GBTC
2020-05-08T00:00:00Z,12.100000,11.450000,12.380000,11.160000,12475397,reg,False,GBTC
2020-05-11T00:00:00Z,10.750000,10.290000,11.750000,9.670000,13307486,reg,False,GBTC
2020-05-12T00:00:00Z,10.500000,10.630000,11.260000,10.330000,8984032,reg,False,GBTC
2020-05-13T00:00:00Z,11.260000,11.210000,11.550000,10.820000,7497585,reg,False,GBTC
2020-05-14T00:00:00Z,12.190000,11.800000,12.190000,11.600000,6486585,reg,False,GBTC
2020-05-15T00:00:00Z,11.730000,11.050000,11.750000,10.900000,5911467,reg,False,GBTC
2020-05-18T00:00:00Z,11.520000,11.410000,11.730000,11.330000,4671794,reg,False,GBTC
2020-05-19T00:00:00Z,11.510000,11.410000,11.550000,11.260000,2748779,reg,False,GBTC
2020-05-20T00:00:00Z,11.640000,11.225000,11.680000,10.870000,4881117,reg,False,GBTC
2020-05-21T00:00:00Z,11.000000,10.580000,11.000000,10.050000,7531217,reg,False,GBTC
2020-05-22T00:00:00Z,10.550000,10.660000,10.900000,10.420000,3227675,reg,False,GBTC
2020-05-26T00:00:00Z,10.490000,10.180000,10.490000,9.980000,4648980,reg,False,GBTC
2020-05-27T00:00:00Z,10.510000,10.540000,10.870000,10.450000,3326936,reg,False,GBTC
2020-05-28T00:00:00Z,10.810000,10.880000,11.140000,10.750000,3222768,reg,False,GBTC
2020-05-29T00:00:00Z,10.910000,10.890000,10.970000,10.650000,2068124,reg,False,GBTC
2020-06-01T00:00:00Z,11.100000,11.280000,11.340000,11.090000,3167697,reg,False,GBTC
2020-06-02T00:00:00Z,11.940000,11.415000,12.460000,10.870000,11056617,reg,False,GBTC
2020-06-03T00:00:00Z,11.440000,11.340000,11.540000,11.250000,3336371,reg,False,GBTC
2020-06-04T00:00:00Z,11.520000,11.730000,11.750000,11.500000,3912991,reg,False,GBTC
2020-06-05T00:00:00Z,11.700000,11.260000,11.710000,11.240000,3857979,reg,False,GBTC
2020-06-08T00:00:00Z,11.280000,11.580000,11.600000,11.240000,3926042,reg,False,GBTC
2020-06-09T00:00:00Z,11.650000,11.530000,11.680000,11.320000,2742241,reg,False,GBTC
2020-06-10T00:00:00Z,11.490000,12.300000,12.560000,11.450000,9237034,reg,False,GBTC
2020-06-11T00:00:00Z,11.960000,10.790000,12.000000,10.580000,11061121,reg,False,GBTC
2020-06-12T00:00:00Z,11.120000,10.880000,11.400000,10.600000,4188688,reg,False,GBTC
2020-06-15T00:00:00Z,10.330000,10.890000,10.970000,10.110000,3916107,reg,False,GBTC
2020-06-16T00:00:00Z,11.200000,10.905000,11.250000,10.830000,2590006,reg,False,GBTC
2020-06-17T00:00:00Z,10.950000,10.700000,10.990000,10.700000,2074100,reg,False,GBTC
2020-06-18T00:00:00Z,10.700000,10.580000,10.750000,10.400000,2423295,reg,False,GBTC
2020-06-19T00:00:00Z,10.600000,10.310000,10.620000,10.280000,2939183,reg,False,GBTC
2020-06-22T00:00:00Z,10.630000,10.565000,11.040000,10.460000,5250881,reg,False,GBTC
2020-06-23T00:00:00Z,10.490000,10.945000,10.980000,10.490000,4290037,reg,False,GBTC
2020-06-24T00:00:00Z,10.500000,10.200000,10.590000,10.020000,5671876,reg,False,GBTC
2020-06-25T00:00:00Z,10.140000,10.140000,10.250000,10.000000,3515849,reg,False,GBTC
2020-06-26T00:00:00Z,10.000000,9.700000,10.050000,9.470000,7008324,reg,False,GBTC
2020-06-29T00:00:00Z,9.570000,9.490000,9.630000,9.180000,4671164,reg,False,GBTC
2020-06-30T00:00:00Z,9.450000,9.605000,9.860000,9.400000,3562584,reg,False,GBTC
2020-07-01T00:00:00Z,9.670000,9.760000,9.970000,9.610000,3486042,reg,False,GBTC
2020-07-02T00:00:00Z,9.870000,9.370000,9.870000,9.250000,4585947,reg,False,GBTC
2020-07-06T00:00:00Z,9.650000,9.940000,10.020000,9.580000,3287239,reg,False,GBTC
2020-07-07T00:00:00Z,9.810000,9.753500,10.100000,9.720000,2538432,reg,False,GBTC
2020-07-08T00:00:00Z,10.070000,10.330000,10.480000,9.860000,3999848,reg,False,GBTC
2020-07-09T00:00:00Z,10.450000,9.870000,10.500000,9.750000,3086524,reg,False,GBTC
2020-07-10T00:00:00Z,9.660000,9.750000,9.860000,9.650000,1915981,reg,False,GBTC
2020-07-13T00:00:00Z,9.830000,9.600000,10.030000,9.550000,2991861,reg,False,GBTC
2020-07-14T00:00:00Z,9.570000,9.735000,9.780000,9.440000,1716914,reg,False,GBTC
2020-07-15T00:00:00Z,9.730000,9.470000,9.730000,9.440000,1985890,reg,False,GBTC
2020-07-16T00:00:00Z,9.310000,9.310000,9.470000,9.300000,2400716,reg,False,GBTC
2020-07-17T00:00:00Z,9.390000,9.540000,9.550000,9.130000,2592624,reg,False,GBTC
2020-07-20T00:00:00Z,9.580000,9.420000,9.600000,9.250000,2752386,reg,False,GBTC
2020-07-21T00:00:00Z,9.970000,9.870000,10.090000,9.730000,4893525,reg,False,GBTC
2020-07-22T00:00:00Z,9.910000,10.080000,10.120000,9.780000,4236475,reg,False,GBTC
2020-07-23T00:00:00Z,10.340000,10.490000,10.670000,10.260000,7679039,reg,False,GBTC
2020-07-24T00:00:00Z,10.410000,10.380000,10.620000,10.050000,4388271,reg,False,GBTC
2020-07-27T00:00:00Z,11.510000,12.150000,12.350000,11.200000,20524175,reg,False,GBTC
2020-07-28T00:00:00Z,12.460000,12.530000,13.200000,12.210000,19221552,reg,False,GBTC
2020-07-29T00:00:00Z,12.910000,12.350000,13.070000,12.250000,11708059,reg,False,GBTC
2020-07-30T00:00:00Z,11.950000,12.225000,12.330000,11.710000,8190939,reg,False,GBTC
2020-07-31T00:00:00Z,12.320000,12.815000,13.100000,12.120000,8779614,reg,False,GBTC
