date,open,high,low,close,volume,datetime
2021-04-19 12:00:00+00:00,47.0,48.8,46.5,47.5,22345,1618833600000
2021-04-19 12:01:00+00:00,47.9,47.9,47.83,47.9,210,1618833660000
2021-04-19 12:02:00+00:00,47.8,47.8,47.8,47.8,1000,1618833720000
2021-04-19 12:03:00+00:00,47.9,47.9,47.6,47.7,3161,1618833780000
2021-04-19 12:04:00+00:00,47.61,47.61,47.6,47.6,941,1618833840000
2021-04-19 12:05:00+00:00,47.6,47.6,47.6,47.6,46,1618833900000
2021-04-19 12:06:00+00:00,47.6,47.6,47.45,47.45,121,1618833960000
2021-04-19 12:07:00+00:00,47.6,47.6,47.45,47.45,310,1618834020000
2021-04-19 12:08:00+00:00,47.6,47.6,47.45,47.45,128,1618834080000
2021-04-19 12:09:00+00:00,47.55,47.55,47.45,47.45,457,1618834140000
2021-04-19 12:10:00+00:00,47.575,47.6,47.575,47.6,49,1618834200000
2021-04-19 12:11:00+00:00,47.45,47.45,46.9,46.9,931,1618834260000
2021-04-19 12:12:00+00:00,46.925,47.6,46.925,47.6,1174,1618834320000
2021-04-19 12:13:00+00:00,47.42,47.42,47.42,47.42,35,1618834380000
2021-04-19 12:14:00+00:00,47.5,47.6,47.5,47.6,121,1618834440000
2021-04-19 12:15:00+00:00,47.59,47.59,47.59,47.59,110,1618834500000
2021-04-19 12:17:00+00:00,47.58,47.59,47.06,47.5,2024,1618834620000
2021-04-19 12:18:00+00:00,47.59,47.59,47.5,47.5,580,1618834680000
2021-04-19 12:19:00+00:00,47.58,47.59,47.505,47.505,510,1618834740000
2021-04-19 12:20:00+00:00,47.59,48.0,47.59,47.73,3465,1618834800000
2021-04-19 12:21:00+00:00,47.8,47.8,47.8,47.8,340,1618834860000
2021-04-19 12:22:00+00:00,47.88,47.88,47.8,47.8,211,1618834920000
2021-04-19 12:23:00+00:00,47.85,47.85,47.7,47.7,1300,1618834980000
2021-04-19 12:24:00+00:00,47.79,47.79,47.77,47.77,146,1618835040000
2021-04-19 12:25:00+00:00,47.7,47.7,47.6,47.7,1099,1618835100000
2021-04-19 12:26:00+00:00,47.7,47.8,47.7,47.8,425,1618835160000
2021-04-19 12:27:00+00:00,47.8,47.8,47.7,47.7,85,1618835220000
